"","animal_number","genotype","sex","name","acronym","structure_id_path","parent_structure_id","cell_numbers","cell_density"
"4:14","AN25","Dp2Yey","male","Orbital area, lateral part, layer 6a","ORBl6a","/997/8/567/688/695/315/714/723/440/",723,77,915.772698080445
"4:15","AN25","Dp2Yey","male","Orbital area, medial part, layer 1","ORBm1","/997/8/567/688/695/315/714/731/484/",731,30,2093.217973765
"4:16","AN25","Dp2Yey","male","Orbital area, lateral part, layer 6b","ORBl6b","/997/8/567/688/695/315/714/723/488/",723,7,966.984390109131
"4:17","AN25","Dp2Yey","male","Infralimbic area, layer 2/3","ILA2/3","/997/8/567/688/695/315/9999/44/556/",44,86,1997.25957407278
"4:18","AN25","Dp2Yey","male","Orbital area, medial part, layer 2/3","ORBm2/3","/997/8/567/688/695/315/714/731/582/",731,14,958.051050434545
"4:19","AN25","Dp2Yey","male","Taenia tecta, dorsal part","TTd","/997/8/567/688/695/698/589/597/",589,207,1731.01527809137
"4:20","AN25","Dp2Yey","male","Taenia tecta, ventral part","TTv","/997/8/567/688/695/698/589/605/",589,163,1144.96846068473
"4:21","AN25","Dp2Yey","male","Orbital area, ventrolateral part, layer 6a","ORBvl6a","/997/8/567/688/695/315/714/746/608/",746,28,471.872998752907
"4:22","AN25","Dp2Yey","male","Orbital area, medial part, layer 5","ORBm5","/997/8/567/688/695/315/714/731/620/",731,3,103.720094039552
"4:23","AN25","Dp2Yey","male","Orbital area, lateral part, layer 5","ORBl5","/997/8/567/688/695/315/714/723/630/",723,101,507.417846036363
"4:24","AN25","Dp2Yey","male","Primary motor area, Layer 5","MOp5","/997/8/567/688/695/315/500/985/648/",985,227,680.629057163846
"4:25","AN25","Dp2Yey","male","Secondary motor area, layer 1","MOs1","/997/8/567/688/695/315/500/993/656/",993,95,566.396584926696
"4:26","AN25","Dp2Yey","male","lateral olfactory tract, body","lot","/997/1009/967/840/21/665/",21,25,456.671050708753
"4:28","AN25","Dp2Yey","male","Agranular insular area, ventral part, layer 2/3","AIv2/3","/997/8/567/688/695/315/95/119/694/",119,93,1019.75920524573
"4:29","AN25","Dp2Yey","male","Olfactory areas","OLF","/997/8/567/688/695/698/",695,243,883.469307621831
"4:30","AN25","Dp2Yey","male","Agranular insular area, ventral part, layer 1","AIv1","/997/8/567/688/695/315/95/119/704/",119,47,1359.91435433003
"4:31","AN25","Dp2Yey","male","Infralimbic area, layer 1","ILA1","/997/8/567/688/695/315/9999/44/707/",44,106,1303.49237579931
"4:32","AN25","Dp2Yey","male","Olfactory tubercle","OT","/997/8/567/623/477/493/754/",493,78,1006.34773184704
"4:33","AN25","Dp2Yey","male","Secondary motor area, layer 5","MOs5","/997/8/567/688/695/315/500/993/767/",993,317,723.765773870001
"4:34","AN25","Dp2Yey","male","Agranular insular area, dorsal part, layer 6a","AId6a","/997/8/567/688/695/315/95/104/783/",104,34,441.529770794104
"4:35","AN25","Dp2Yey","male","Agranular insular area, ventral part, layer 5","AIv5","/997/8/567/688/695/315/95/119/800/",119,61,572.856015927276
"4:36","AN25","Dp2Yey","male","Dorsal peduncular cortex","DP","/997/8/567/688/695/698/814/",698,111,1236.1903064861
"4:37","AN25","Dp2Yey","male","Infralimbic area, layer 5","ILA5","/997/8/567/688/695/315/9999/44/827/",44,109,1254.27200441872
